,Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Population_Density_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name
2678,1.7461193038547127e-05,0.025413252357856343,0.00018334252690474482,7.639271954364367e-05,0.022976737869210142,0.7148466702957722,0.670138888888889,0.7401296173085927,0.0005591071321360215,0.5043582945709194,0.4726822709772046,0.0641080486463362,1812.0,DORCHESTER
2682,5.693553960298168e-06,0.02629834647454544,0.00011956463316626154,6.6424796203478626e-06,0.03942020322773461,0.6072727272727273,0.6875,0.7604938271604939,0.0015210520900816853,0.4513816607035403,0.457886363088494,0.0330978955234674,919.0,DOUGHERTY
2683,3.1683732620529855e-06,0.009282471067529587,1.2321451574650497e-05,6.91370338355389e-06,0.010983373031843142,0.6730615117687498,0.576388888888889,0.7516057829525601,0.06724645120521527,0.3134779148456892,0.5047395129631796,0.1002399012734449,8220.0,DOUGLAS
2827,0.00011731953687612309,0.057380039837451845,0.0012318551371992925,0.0002737455860442872,0.01578355351330653,0.6690909090909091,0.8229166666666666,0.7234567901234569,2.9613404848649287e-05,0.4667524650686712,0.4915143989119508,0.0418662409082845,0.0,DREW
2829,7.0527186446133456e-06,0.017959769346549127,6.171128814036677e-05,1.9199067421447437e-05,0.021391501783976648,0.7,0.5729166666666666,0.7382716049382717,0.0019751524945872162,0.2427689441172453,0.4962554597322577,0.029682702149437,479.0,DUBUQUE
2832,2.21577919510762e-05,0.035732570634784064,0.00011632840774315005,0.00010340302910502227,0.011204556282702388,0.6600628162624324,0.6076388888888888,0.7271249496457431,0.00014887475102682773,0.3960669175607558,0.5302615193026152,0.0665006226650062,0.0,DUNN
2836,8.860555272552043e-06,0.01719381823127114,0.00013955374554269463,9.303583036179643e-05,0.016092430823288272,0.6854545454545455,0.7604166666666666,0.762962962962963,0.00039017919753312727,0.5033103165266748,0.4940804245764442,0.2389263114921412,556.0,DUPLIN
2838,2.581679197282805e-06,0.006061967439575699,9.035877190489817e-06,1.807175438097963e-05,0.015982260781058782,0.730909090909091,0.6388888888888888,0.7703703703703705,0.004115457792943591,0.4350819372118276,0.4992757398040632,0.1454065771563965,4333.0,DUTCHESS
2839,1.871194578966145e-06,0.007818558469858208,3.929508615828905e-06,7.640711197445091e-07,0.014825154796124817,0.6519948783610755,0.6527777777777778,0.7531450430980948,0.018127589873187806,0.6021101349119802,0.4858598219836779,0.1178197328968182,19680.0,DUVAL
2843,3.5643972070575676e-05,0.03391782069517046,0.00018713085337052228,0.00016633853632935314,0.025051755902072138,0.7127272727272728,0.9027777777777778,0.7333333333333334,0.0001553171019994882,0.3762616364123632,0.4880801977478715,0.0399066190606976,66.0,DYER
