,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
10194,ONEIDA,2891.0,7.0,41.791364333163,2.9600306591722028,1957.0,7776237.0,363576513.0,287312.9,2445718.35,1.0,4.0,63.0,18.6,0.5061544991511036,0.1188786780412607,0.0456281833616298
10203,ONONDAGA,6548.0,5.0,38.5,3.02,2247.0,14933800.0,1057094409.0,1302585.9,1810362.96,,5.0,48.0,20.8,0.4862818713974829,0.459741281276334,0.0569910453626169
10204,ONSLOW,2558.0,3.0,25.899999999999995,3.06,3.0,14700.0,560625.0,695.7,2299.95,,,17.0,23.1,0.5512257715945161,0.4906678935490137,0.1363737228530907
10205,ONTARIO,748.0,3.0,42.1,2.9500000000000006,793.0,3683081.0,86659040.0,129179.7,525267.34,,,27.0,20.3,0.4920812371902366,0.2119652537010137,0.0548413142040867
10206,ORANGE,51284.0,45.0,36.550753598645215,3.3586629974597804,11810.0,331699554.0,24266716645.0,30162062.0,8614007.799999999,253.0,49.0,111.0,15.0,0.4965282890494493,0.5444266199233793,0.3402413188185774
10270,ORANGEBURG,1168.0,1.0,38.0,3.06,710.0,2990400.0,65839010.0,58220.0,801263.4,,2.0,17.0,20.0,0.4706236310684285,0.5090887783393686,0.0266565576335234
10271,ORLEANS,238.0,12.0,38.87370786516854,2.983378277153558,1335.0,14696159.0,252962092.0,659284.9,626538.14,,11.0,28.0,23.6,0.5070705529274124,0.2499636123073459,0.0543008291367821
10277,OSAGE,334.0,2.0,41.69571734475375,2.9744325481798715,467.0,782927.0,7362729.0,10567.6,321496.99,3.0,6.0,33.0,20.2,0.5060048549891402,0.1429898085956656,0.0369234700396064
10286,OSCEOLA,4018.0,6.0,39.68967136150235,3.100046948356808,1917.0,17243288.0,261129780.0,183184.2,1802621.43,2.0,7.0,13.0,17.7,0.4973434782094215,0.4720563929459311,0.567766746737034
10295,OSWEGO,1481.0,1.0,38.3,2.98,576.0,2009707.0,70602048.0,69350.40000000001,584392.3200000001,,,28.0,21.5,0.5057106867195887,0.149495701318692,0.0312291291519778
10296,OTERO,716.0,2.0,38.680522565320665,3.006389548693587,421.0,1683870.0,18136098.0,5102.4,1697141.86,13.0,3.0,18.0,20.7,0.4962574441348413,0.2887678574817728,0.4333715784297656
10300,OTSEGO,523.0,3.0,41.19846153846154,2.846783216783217,715.0,1762418.0,41208044.0,42335.7,678937.63,,2.0,31.0,21.5,0.5046404617064421,0.144025422225609,0.0201996568398065
10304,OTTAWA,468.0,6.0,36.96542713567839,3.0858626465661647,2985.0,16912492.0,596949189.0,1059689.4,1617199.45,2.0,9.0,45.0,18.4,0.5254529767040552,0.1396341766893289,0.0346850733390854
10320,OURAY,0.0,,50.0,2.63,38.0,165263.0,173014.0,311.6,20607.78,,3.0,2.0,17.9,0.5064705882352941,0.1532592849578762,0.074313725490196
10321,OUTAGAMIE,1140.0,2.0,37.1,3.02,996.0,7436630.0,179766048.0,273003.60000000003,642011.64,,1.0,21.0,20.5,0.5036772551489379,0.2813147686551787,0.0498055973392599
10322,OVERTON,91.0,1.0,41.6,2.95,150.0,508308.0,3369300.0,7620.0,65224.5,,,11.0,27.8,0.5032112480472141,0.111175350753276,0.0222617601110918
10323,OWYHEE,0.0,,35.9,3.29,125.0,192700.0,1439625.0,187.5,962117.5,2.0,2.0,5.0,19.4,0.5139142154919527,0.2426226693860149,0.2560849916752556
10324,OZAUKEE,497.0,1.0,42.8,2.97,573.0,3541510.0,50180475.0,210348.3,134844.09,,,8.0,17.8,0.4976292616843531,0.2059591044296145,0.0359965164661484
10325,PACIFIC,84.0,2.0,50.8,2.72,176.0,760409.0,3730848.0,3836.8,169021.6,7.0,,8.0,25.0,0.4989010077551528,0.2897321507898493,0.1048397130178741
10326,PAGE,112.0,3.0,42.994029850746266,2.8982462686567163,536.0,1111093.0,12386717.0,38061.9,182296.35,4.0,4.0,9.0,16.8,0.5343062801294327,0.2007726032463901,0.0382354883444495
10330,PALM BEACH,20934.0,13.0,43.5,2.97,6205.0,127911266.0,8204908730.0,3696939.0,13748790.8,,19.0,14.0,16.2,0.4882885944271793,0.4791454201166804,0.2417343166870489
10331,PALO PINTO,40.0,1.0,40.4,3.05,210.0,740101.0,5940480.0,5985.0,206955.0,,2.0,10.0,22.9,0.4919798898731147,0.2124245282078734,0.2095830910769862
10332,PAMLICO,297.0,,,,,,,,,,,7.0,20.8,0.5140941765608594,0.4183528899716767,0.0496728858735158
10333,PARK,0.0,3.0,44.59505094614265,2.777627365356623,687.0,2117774.0,15766728.0,3393.0,3424601.1100000003,14.0,3.0,17.0,19.1,0.5358715647471989,0.2018392608746988,0.071408662690228
10342,PARKER,913.0,1.0,38.8,3.09,843.0,4929791.0,102655482.0,108325.5,767180.58,,,15.0,23.0,0.5029487318643945,0.1936230552952873,0.1460798147545135
10343,PARMER,0.0,1.0,32.1,3.43,139.0,386639.0,1432395.0,1612.4,123040.01999999996,1.0,2.0,4.0,20.5,0.5228690228690228,0.2070415621704236,0.6583160083160083
10344,PASCO,11411.0,7.0,,,,,,,,,3.0,7.0,21.2,0.4904105493812357,0.3620993423994319,0.1886615176890705
10345,PASQUOTANK,674.0,1.0,36.5,3.01,182.0,1119880.0,7482020.0,32596.2,41317.64,,1.0,6.0,21.3,0.4939909130880844,0.5593319114200699,0.0638282280521764
10346,PASSAIC,5800.0,2.0,,,,,,,,,5.0,22.0,17.0,0.4919328476697487,0.5362303732473427,0.4433217365586376
10347,PATRICK,205.0,,46.6,2.76,673.0,573169.0,12620769.0,25641.3,326970.32,,,9.0,20.4,0.5049594740123562,0.2119181644801115,0.0333843450660318
10348,PAULDING,1728.0,2.0,35.42450331125828,3.2151434878587195,906.0,4067838.0,99803624.0,309351.4,310828.96,,4.0,7.0,20.5,0.4905868703796078,0.4922014024073972,0.0857410282421912
10352,PAWNEE,51.0,4.0,43.74724220623501,2.900743405275779,417.0,414922.0,3652643.0,5685.4,272327.77,6.0,2.0,12.0,18.6,0.5546204887522252,0.2911207584252054,0.078167988347629
10361,PAYNE,333.0,2.0,27.6,2.92,306.0,1536315.0,24334344.0,33966.0,213275.88,19.0,,7.0,24.9,0.5130323453390342,0.4931680162974382,0.0527695243616687
10362,PEACH,131.0,1.0,33.4,3.07,271.0,1808716.0,7672281.0,49593.0,41015.85,,3.0,3.0,19.5,0.4805335760801064,0.5388585064086054,0.0852181219802534
10363,PECOS,0.0,2.0,36.5,3.2400000000000007,185.0,510031.0,2910235.0,610.5,881634.15,2.0,1.0,3.0,19.5,0.5693926026467594,0.2674191993349837,0.7098744485917883
10364,PEMBINA,0.0,1.0,46.5,2.82,318.0,228895.0,2369736.0,2098.8,356621.10000000003,4.0,,11.0,17.1,0.5323081472719208,0.2011208987035908,0.0403667011681206
10365,PENDER,776.0,1.0,41.1,2.95,438.0,2365769.0,23539434.0,26104.8,383464.62,,,10.0,21.9,0.5050276100217533,0.3782869494406539,0.0828757016596437
10366,PENDLETON,0.0,,42.66181818181818,2.962909090909091,220.0,272996.0,2615116.0,7770.4,100302.92,,3.0,7.0,26.2,0.5158762605614609,0.1211342003445772,0.0156037067320795
10370,PENNINGTON,478.0,5.0,37.477373887240354,2.9151928783382792,1348.0,5838797.0,95665959.0,42046.2,2672438.89,29.0,,20.0,22.0,0.5022029613578909,0.2275123918543591,0.047453954496208
10374,PEORIA,1833.0,3.0,36.8,3.0,3658.0,21950343.0,690908408.0,1082036.4,2306588.48,,7.0,15.0,16.6,0.4879781145064272,0.5167344133755549,0.0567206516316016
10375,PEPIN,0.0,1.0,44.0,2.91,67.0,105490.0,502500.0,2010.0,16662.23,2.0,,3.0,19.7,0.5143049932523617,0.0970682619167223,0.025910931174089
10376,PERKINS,0.0,1.0,45.56049382716049,2.880864197530864,81.0,64331.0,242878.0,201.0,133838.13,1.0,,9.0,15.2,0.5072463768115942,0.1025128167476236,0.0547896783315659
10380,PERRY,1328.0,6.0,39.73101107538407,2.9703072525902106,2799.0,5758925.0,75109054.0,162966.6,1328766.43,,12.0,73.0,24.4,0.4680771624144368,0.4439157293056772,0.0150591163658991
10480,PERSHING,0.0,1.0,41.0,3.02,165.0,287810.0,1126620.0,181.50000000000003,1001127.6,,1.0,3.0,18.5,0.6324667285670071,0.4012316759027894,0.2469823584029712
10481,PERSON,258.0,1.0,41.5,2.95,370.0,1258110.0,14649780.0,36149.0,149505.9,,1.0,7.0,21.7,0.4848169400294521,0.4738144057414308,0.054334027319352
10482,PETERSBURG (CA),0.0,,,,,,,,,,,,,,,
10483,PETERSBURG (CITY),1318.0,,,,,,,,,,,,,,,
10484,PHELPS,0.0,2.0,35.97236842105263,2.9276973684210525,456.0,1516655.0,17040978.0,25302.0,293412.84,6.0,,8.0,23.9,0.5260300575993644,0.2842143030807375,0.0303224240284245
10488,PHILADELPHIA,44885.0,21.0,33.6,3.2,4780.0,52930248.0,7366883420.0,51820936.0,672832.7999999999,,,3.0,20.7,0.4744464536151674,0.6780999939511524,0.161029007349141
10489,PHILLIPS,0.0,5.0,42.31310344827587,2.978068965517241,580.0,780191.0,6123712.0,7700.799999999999,936694.36,4.0,4.0,17.0,21.7,0.4713800313643492,0.4826054679913189,0.0242420282279142
