,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
2491,DAWSON,43.0,5.0,37.7074299634592,3.085712545676005,821.0,2181158.0,14131571.0,23835.2,960469.2,10.0,1.0,11.0,20.5,0.501061782467317,0.1734872472772247,0.0679208972061848
2507,DAY,0.0,1.0,47.7,2.83,83.0,67283.0,472934.0,431.6,90562.13,2.0,,5.0,15.0,0.5145099470706334,0.316116424586421,0.026282168278883
2508,DE BACA,0.0,,47.7,2.78,35.0,55860.0,71715.0,31.5,81683.70000000001,,,1.0,18.2,0.5073833431777909,0.2475740578926649,0.4489072652096869
2509,DE WITT,0.0,2.0,41.6,2.88,1255.0,1570750.0,20944695.0,51329.5,508375.4,,3.0,4.0,17.7,0.5003265839320705,0.1256321293676329,0.0322664924885695
2510,DEKALB,7447.0,,33.414288774635814,3.1237467866323905,4668.0,44626918.0,1403311103.0,4595782.0,2246511.95,1.0,31.0,31.0,27.1,0.4999444429011917,0.2355705712840003,0.1599211089196922
2546,DESOTO,41.0,,35.41089837997055,3.1776730486008837,679.0,5250074.0,100348275.0,195166.9,350775.87,,3.0,14.0,18.2,0.5619619392840961,0.3529885447754005,0.3214771182600816
2550,DEWITT,0.0,,42.8,3.01,195.0,623943.0,3966300.0,4309.5,177555.3,,,5.0,21.2,0.5277665385393486,0.2970113989139248,0.370220513857981
2551,DEAF SMITH,0.0,1.0,31.2,3.45,109.0,418169.0,2100321.0,1406.1,163321.24,3.0,,1.0,20.7,0.5035098220601839,0.1985866310025818,0.7686782391032269
2552,DEARBORN,651.0,2.0,40.0,3.07,317.0,2136346.0,15966973.0,51639.3,97369.72,,5.0,7.0,22.5,0.5027376901716922,0.1064437238208359,0.0159372677852086
2553,DECATUR,271.0,4.0,40.31835334476844,2.987915951972556,1166.0,4137822.0,23343873.0,46856.2,653601.87,4.0,10.0,27.0,20.2,0.4862328341729349,0.525302571494173,0.0716651714857497
2578,DEFIANCE,308.0,3.0,39.3,2.97,565.0,1279530.0,22192635.0,53223.0,234023.0,,2.0,10.0,22.6,0.5033912064315081,0.1648148564914228,0.111975279545395
2579,DEL NORTE,433.0,1.0,39.0,3.05,82.0,646860.0,2352170.0,2312.4,83120.94,4.0,3.0,5.0,19.2,0.5357063732368362,0.5166662948722791,0.2076656081530167
2580,DELAWARE,12488.0,11.0,39.22910973997356,2.98982591449978,4538.0,21617816.0,460970525.0,974669.7,2760233.27,,19.0,128.0,24.6,0.4838749988842374,0.3016997815345844,0.0284742615883103
2616,DELTA,278.0,2.0,45.123728813559325,2.8649364406779663,472.0,1861377.0,13028450.0,12634.7,451230.04,6.0,6.0,18.0,20.9,0.50287956458452,0.1848562975597025,0.1578697550787924
2625,DENALI,0.0,,41.9,2.97,55.0,50753.0,102685.0,5.5,703034.75,,,7.0,16.4,,,
2626,DENTON,3592.0,13.0,32.9,3.24,3040.0,28352325.0,2114909760.0,2113104.0,2897819.2,,3.0,18.0,19.6,0.4956281765428776,0.5509175205739246,0.2006464875506635
2627,DENVER,11845.0,7.0,33.8,3.15,45.0,1301549.0,27983025.0,174586.5,6961.05,89.0,3.0,2.0,20.5,0.5061675256431107,0.4631145424471936,0.2878519793845653
2628,DES MOINES,252.0,1.0,41.6,2.88,1231.0,3651211.0,49803798.0,115467.8,529009.9400000001,,2.0,7.0,16.7,0.4927271302849084,0.3031832181601878,0.0403990285430757
2629,DESCHUTES,849.0,1.0,40.2,2.88,1418.0,10353569.0,228595780.0,73168.8,4331451.16,26.0,,8.0,22.1,0.4988792005771028,0.2019206480634235,0.0883470750282015
2630,DESHA,0.0,2.0,38.8,2.99,161.0,376570.0,2115862.0,2559.9,131953.99,,2.0,7.0,23.0,0.4707083836226906,0.5314486898872385,0.0735307770866214
2631,DEUEL,0.0,1.0,46.644444444444446,2.794074074074074,108.0,181583.0,305076.0,575.2,55443.64,1.0,,7.0,16.1,0.5136698212407992,0.148103176038774,0.0888538380651945
2635,DEWEY,0.0,2.0,40.85751295336788,3.069948186528497,193.0,196070.0,939917.0,853.6,234834.97,6.0,,7.0,23.7,0.4937514201317882,0.3620924858839237,0.0788457168825267
2639,DICKENS,0.0,,42.3,2.81,96.0,50687.0,234048.0,259.20000000000005,86903.04000000001,,,2.0,21.0,0.4988412514484356,0.3147414106083642,0.2757821552723059
2640,DICKENSON,148.0,1.0,43.0,2.85,511.0,350430.0,8208193.0,24374.7,170495.15,,1.0,3.0,23.4,0.5167941712204007,0.0730780835629439,0.0110018214936247
2641,DICKEY,0.0,1.0,43.1,2.94,147.0,92750.0,783216.0,676.1999999999999,167835.78,3.0,1.0,5.0,17.8,0.5104611009547024,0.2317269397286484,0.0532195815559618
2642,DICKINSON,0.0,5.0,45.55061643835616,2.777904109589041,1460.0,2946431.0,27710963.0,50740.1,858476.4199999999,10.0,10.0,22.0,16.1,0.498224983359219,0.1249957540865413,0.0292323053028622
2651,DICKSON,1332.0,1.0,38.6,3.02,168.0,922635.0,8424192.0,16984.8,82545.12,,,11.0,26.2,0.4958304191101307,0.231553189479039,0.046107494485393
2652,DILLON,680.0,1.0,36.7,3.2,233.0,1066625.0,7583684.0,18383.7,94737.8,,,9.0,22.8,0.4707260797461965,0.5917835950328506,0.0345735092652678
2653,DIMMIT,0.0,1.0,35.8,3.3799999999999994,164.0,425410.0,1675260.0,1230.0,218849.8,,1.0,3.0,20.5,0.4930249195183021,0.1836707581443451,0.8826755693334923
2654,DINWIDDIE,134.0,,40.7,3.02,1013.0,2420936.0,28894812.0,55917.600000000006,513631.52,,,3.0,19.6,0.4958630730442811,0.4962086801129171,0.0414757998650616
2655,DISTRICT OF COLUMBIA,16606.0,,33.9,3.01,4728.0,61473052.0,2919090840.0,45746236.8,294034.32,,2.0,3.0,20.4,0.4758567615804038,0.6300232182043412,0.1174615177365983
2656,DIVIDE,0.0,1.0,51.3,2.66,122.0,60285.0,254858.0,195.2,157885.08000000002,1.0,,4.0,17.2,0.5308641975308642,0.2493090154588955,0.0420667581161408
2657,DODGE,979.0,4.0,39.201298701298704,2.976161616161616,1386.0,4216875.0,70487020.0,96217.8,907997.84,12.0,4.0,44.0,20.2,0.527017472982527,0.4807629763007537,0.0431269568730431
2673,DOLORES,0.0,,44.7,2.81,22.0,55504.0,45562.0,41.8,23497.54,,,2.0,18.4,0.5458248472505092,0.2285054123083757,0.0839103869653767
2674,DONA ANA,1994.0,5.0,,,,,,,,20.0,,15.0,,,,
2675,DONLEY,0.0,,42.4,2.82,73.0,345068.0,267472.0,284.7,68106.08,,,3.0,22.4,0.4953578915843066,0.3000385653307495,0.1320754716981132
2676,DOOLY,0.0,1.0,40.0,2.99,175.0,881225.0,2669100.0,6580.0,69522.25,,1.0,5.0,18.2,0.5439841089670828,0.5188386871473895,0.082103670071888
2677,DOOR,0.0,1.0,49.3,2.69,241.0,647730.0,6755471.0,13761.1,117188.66,,,10.0,18.2,0.4995741335255192,0.1284447896434653,0.0389831618947782
2678,DORCHESTER,1812.0,2.0,39.31656686626747,2.9975249500998005,501.0,3301709.0,44746847.0,74688.2,287603.49,,4.0,15.0,19.3,0.4726822709772046,0.5043582945709194,0.0641080486463362
2682,DOUGHERTY,919.0,1.0,33.4,3.08,719.0,5239230.0,68615608.0,203189.4,240577.4,,4.0,2.0,19.8,0.457886363088494,0.4513816607035403,0.0330978955234674
2683,DOUGLAS,8220.0,27.0,37.01838314728124,3.044003420957868,11108.0,89725005.0,3329153205.0,8983102.0,13339665.29,239.0,20.0,101.0,16.6,0.5047395129631796,0.3134779148456892,0.1002399012734449
2827,DREW,0.0,1.0,36.8,2.93,179.0,554770.0,3329937.0,3955.9,149586.71999999997,,2.0,4.0,23.7,0.4915143989119508,0.4667524650686712,0.0418662409082845
2828,DUPAGE,5831.0,,38.0,3.24,3568.0,66959170.0,3283066656.0,9723156.8,1200524.9600000002,,28.0,28.0,14.0,0.495631995187322,0.4566988220693656,0.1534508052439947
2829,DUBUQUE,479.0,3.0,38.5,2.99,1737.0,8665386.0,166177053.0,263850.3,1071034.2,,5.0,14.0,16.5,0.4962554597322577,0.2427689441172453,0.029682702149437
2830,DUCHESNE,10.0,1.0,29.600000000000005,3.47,106.0,386047.0,2070816.0,604.2,345126.46,3.0,,4.0,23.7,0.5091017310649273,0.2611860458423773,0.0876940627945042
2831,DUNDY,0.0,1.0,47.5,2.84,49.0,29535.0,99127.0,107.8,45113.32,1.0,,2.0,16.4,0.4981132075471698,0.1860951241053924,0.0855345911949685
2832,DUNN,0.0,1.0,36.30345489443378,2.9448560460652597,521.0,1829196.0,17631119.0,19887.4,613321.03,10.0,1.0,8.0,17.5,0.5302615193026152,0.3960669175607558,0.0665006226650062
2836,DUPLIN,556.0,1.0,37.7,3.09,730.0,2201070.0,44090540.0,52122.00000000001,598337.2,,3.0,18.0,21.9,0.4940804245764442,0.5033103165266748,0.2389263114921412
2837,DURHAM,3682.0,4.0,33.4,3.02,1764.0,20900593.0,496179684.0,1584248.4,525583.7999999999,,,6.0,21.0,0.4786942407117951,0.63554532667586,0.139323073223518
2838,DUTCHESS,4333.0,3.0,40.2,3.12,1525.0,7990152.0,453968100.0,549762.5,1258567.2499999998,,2.0,36.0,18.4,0.4992757398040632,0.4350819372118276,0.1454065771563965
2839,DUVAL,19680.0,10.0,35.859718309859154,3.050237424547284,2485.0,47394746.0,2087792852.0,2421570.0,2210914.52,,4.0,7.0,18.8,0.4858598219836779,0.6021101349119802,0.1178197328968182
2843,DYER,66.0,1.0,39.2,2.97,285.0,1079355.0,10960245.0,20748.0,150055.35,,1.0,8.0,26.0,0.4880801977478715,0.3762616364123632,0.0399066190606976
2844,EAGLE,10.0,1.0,34.0,3.21,188.0,1553764.0,9923956.0,5809.2,318047.12,9.0,4.0,8.0,18.0,0.5299990955955504,0.2081942085138055,0.2951252600162792
2845,EARLY,0.0,1.0,39.2,3.12,306.0,478690.0,3344274.0,6517.8,158009.22,,1.0,2.0,20.1,0.4681293739360696,0.5163998697147406,0.0220351806317382
2846,EASTLAND,0.0,1.0,42.6,2.93,270.0,913782.0,5073840.0,5373.0,251621.1,,3.0,8.0,23.2,0.5025635309852876,0.2060732417624367,0.1798930004458314
2847,EAU CLAIRE,704.0,4.0,33.6,2.93,617.0,3870810.0,62023308.0,94401.0,398137.76,,1.0,6.0,21.1,0.4970656233327405,0.2497753889809039,0.0294560873105759
2848,ECHOLS,0.0,,31.6,3.33,78.0,60596.0,315822.0,748.8,32820.06,,1.0,1.0,21.4,0.513293543136191,0.3876272508639883,0.3062940857297884
2849,ECTOR,1292.0,2.0,31.5,3.32,1408.0,10376161.0,198575872.0,214156.8,1269734.4,23.0,1.0,2.0,20.8,0.5145304564583605,0.2916989922829669,0.6567206857753825
2850,EDDY,697.0,2.0,39.41404255319149,3.0232765957446808,470.0,1733500.0,21182268.0,5233.400000000001,1667228.76,10.0,2.0,16.0,17.8,0.5115066225165563,0.237963405966139,0.526523178807947
2854,EDGECOMBE,831.0,1.0,39.6,3.08,609.0,1937140.0,34801914.0,68025.3,308452.41000000003,,1.0,9.0,21.1,0.466719115546262,0.5145809150205833,0.0589428790294196
2855,EDGEFIELD,216.0,1.0,40.3,3.04,105.0,213425.0,2896215.0,5596.5,53182.5,,1.0,6.0,20.8,0.5408436061191149,0.4967644045650687,0.0744096242388237
2856,EDMUNDS,0.0,1.0,45.8,2.84,33.0,32085.0,135432.0,115.5,37984.32,2.0,,4.0,14.5,0.5134071340713408,0.1127826444686909,0.0236162361623616
2857,EDWARDS,0.0,1.0,43.27929411764706,2.865905882352941,850.0,696272.0,5007659.0,20949.3,332667.2,1.0,3.0,9.0,17.8,0.4872343930159776,0.1225330397032165,0.0151540108713556
2866,EFFINGHAM,386.0,2.0,39.2,3.03,2012.0,4857054.0,69486432.0,143455.6,965639.28,,7.0,12.0,20.7,0.4977332309786938,0.4038808420411507,0.0646717168059558
2870,EL DORADO,1643.0,2.0,43.5,2.99,511.0,6689124.0,93254434.0,51815.4,912855.51,26.0,3.0,13.0,17.8,0.5006592402645267,0.3338550814523406,0.1406725288871816
2871,EL PASO,17202.0,20.0,32.81334644563079,3.319207642596235,7118.0,83874135.0,5203801858.0,3764346.7999999993,11377864.68,205.0,7.0,34.0,20.6,0.5095865735308217,0.4324438969497332,0.1892846967256169
2875,ELBERT,128.0,1.0,41.8252808988764,3.0022191011235955,356.0,975097.0,7602618.0,14510.2,300143.84,2.0,3.0,9.0,19.1,0.5115651642145401,0.1978171786356604,0.0924133961653296
2879,ELK,297.0,1.0,45.72103929024081,2.825804816223067,789.0,914273.0,21221224.0,25537.6,630914.18,,4.0,12.0,19.3,0.5022531749283081,0.2094496526560117,0.0458828349037279
2883,ELKHART,1315.0,3.0,34.9,3.23,1284.0,8635030.0,255539112.0,542104.7999999999,600847.7999999999,,8.0,15.0,22.0,0.4974189182657451,0.2874800736532625,0.1812799071970612
2884,ELKO,398.0,1.0,33.5,3.26,419.0,1259020.0,20857401.0,1173.1999999999998,7208111.470000001,13.0,,15.0,20.2,0.5205750656847871,0.3248852144072263,0.2580394478777338
2885,ELLIS,802.0,5.0,34.91367898510756,3.1745780474351903,1813.0,7969359.0,201542029.0,204929.2,1739195.85,9.0,8.0,26.0,18.7,0.5057530838602674,0.1928522023981392,0.0695207491102588
2894,ELMORE,260.0,3.0,30.0,3.1100000000000003,361.0,987150.0,9902952.0,3140.7,1119381.58,4.0,2.0,22.0,25.9,0.4878465437736565,0.430682830440654,0.0317988455053984
2898,EMANUEL,0.0,1.0,36.8,3.1000000000000005,356.0,783341.0,8112528.0,11641.2,245764.6,,4.0,6.0,21.8,0.5058223210781106,0.4907126092928198,0.0495878581708753
2899,EMMET,0.0,2.0,41.63159224936816,2.88,1187.0,2032232.0,20357276.0,45416.9,506542.68,2.0,4.0,13.0,16.8,0.5114428945074107,0.1900769006685111,0.1040758500435919
2903,EMMONS,0.0,1.0,50.4,2.81,141.0,65090.0,503229.0,324.29999999999995,219235.26,1.0,,5.0,16.6,0.5187692307692308,0.1411684537084887,0.0147692307692307
2904,EMPORIA (CITY),0.0,,,,,,,,,,,,,,,
2905,ERIE,16159.0,16.0,40.2074398249453,2.960236323851204,2285.0,9921032.0,476482536.0,758210.7000000001,1383861.85,,6.0,133.0,20.1,0.4878976588741381,0.4638439942355059,0.0613209135526016
2914,ESCAMBIA,7938.0,5.0,37.84108832807571,2.972973186119874,1268.0,14464343.0,294988220.0,431456.4,941066.52,,5.0,27.0,24.8,0.5008454699176349,0.5602802941057936,0.0265368461244749
2918,ESMERALDA,0.0,,52.6,2.67,27.0,49990.0,20871.0,5.4,96904.08,,1.0,4.0,19.2,0.5564516129032258,0.4262182893737937,0.2137096774193548
2919,ESSEX,13727.0,17.0,37.96503728251864,3.195133940900304,3621.0,46600491.0,2286796400.0,17694535.7,1169424.07,,33.0,81.0,18.6,0.4870166653238551,0.3977465893577026,0.2385502593692091
2944,ETOWAH,975.0,3.0,40.3,2.97,690.0,4402325.0,72233340.0,131307.0,378609.9,,,22.0,26.7,0.4867782865124941,0.392900372299641,0.0477359149464535
2945,EUREKA,0.0,,42.3,3.07,51.0,70790.0,104346.0,25.5,213178.98,1.0,,1.0,20.7,0.5534084809447128,0.3077030532812278,0.155126140633387
2946,EVANS,0.0,1.0,35.8,3.16,142.0,367674.0,1575632.0,8363.8,26541.22,,3.0,3.0,20.7,0.4905095839177185,0.5212116383629369,0.1248246844319775
2947,FAIRBANKS NORTH STAR,725.0,2.0,31.2,3.13,1405.0,5364394.0,143898695.0,18405.5,10447341.15,16.0,,10.0,17.4,,,
2948,FAIRFAX,4706.0,7.0,,,,,,,,,1.0,2.0,15.2,0.5002692538462011,0.6382241001197072,0.1683341664243528
2949,FAIRFIELD,11931.0,9.0,39.159982190561,3.1733446126447014,5615.0,71721911.0,4069619383.0,6345052.0,3460139.76,,18.0,58.0,16.5,0.5006691303760635,0.3697736217893281,0.0268818524475438
2955,FALL RIVER,0.0,2.0,50.5,2.74,86.0,146615.0,616276.0,352.6,150424.31999999998,4.0,1.0,9.0,15.4,0.5042062415196743,0.3409116960392435,0.0423337856173677
2956,FALLS,0.0,,39.9,3.1,308.0,601645.0,5515356.0,7114.8,238345.8,,1.0,5.0,22.7,0.4801454630770133,0.4667838632061434,0.2608364126928265
2957,FALLS CHURCH (CITY),77.0,,,,,,,,,,,,,,,
2958,FANNIN,134.0,2.0,43.93040540540541,2.9143243243243244,444.0,1160576.0,13366863.0,20756.7,309460.5,,4.0,8.0,20.8,0.4936472782375568,0.1388394760550078,0.031083653883514
2962,FAULK,0.0,1.0,46.6,2.79,19.0,10140.0,45410.0,45.6,19111.53,1.0,,3.0,15.1,0.5126999059266227,0.0771006219259231,0.0145813734713076
2963,FAULKNER,763.0,3.0,31.6,3.04,413.0,3301700.0,49194908.0,70416.5,274298.08,1.0,2.0,15.0,24.1,0.485497199702346,0.3774004717953709,0.0473269886029843
2964,FAUQUIER,639.0,1.0,,,,,,,,,,11.0,19.0,0.5016741669345334,0.340765081041778,0.1141112182577949
2965,FAYETTE,6830.0,19.0,40.988765377204686,2.9109218912109087,6747.0,23486269.0,585052044.0,1387113.6,4425279.88,7.0,22.0,111.0,27.8,0.4923067378086611,0.3130668175732494,0.0203499193448318
3086,FENTRESS,191.0,,42.3,2.96,105.0,274569.0,1892625.0,3780.0,52401.3,,,3.0,27.1,0.4932236705979723,0.1087538284033627,0.0218290916614938
3087,FILLMORE,0.0,1.0,43.26287878787878,2.921060606060606,528.0,649693.0,9532340.0,11377.6,426675.16,7.0,3.0,16.0,22.3,0.5070981600821892,0.1043829028861238,0.0203605118147006
3091,FISHER,0.0,1.0,45.6,2.9,119.0,95218.0,464576.0,523.6,107302.3,,,2.0,20.6,0.503865267807841,0.2537809250655354,0.2992821645499724
3092,FLAGLER,1554.0,1.0,47.5,2.82,254.0,2780597.0,24707088.0,48133.0,128290.32,,1.0,3.0,19.4,0.4853636399510674,0.3727648521861062,0.1178564381831814
3093,FLORENCE,1996.0,3.0,38.97145877378436,3.011797040169133,473.0,3169841.0,57883042.0,70867.90000000001,361755.04999999993,,2.0,14.0,21.9,0.4698327250385822,0.5401373180757814,0.0311364018695006
3097,FLOYD,2597.0,9.0,40.30579576816928,2.9731416743330263,2174.0,10677089.0,110103084.0,377751.7,923645.43,3.0,15.0,29.0,21.2,0.4897177277435314,0.4185384233705296,0.1230252506460987
3133,FLUVANNA,20.0,,41.1,2.96,375.0,600636.0,9812625.0,33187.5,108836.25,,,4.0,19.4,0.4679143435491317,0.3991702882095308,0.0471962782769274
3134,FOARD,0.0,,46.6,2.83,64.0,35414.0,86464.0,121.6,45291.52,,,1.0,22.3,0.4720908230842006,0.2714046989393325,0.2109744560075686
3135,FOND DU LAC,937.0,4.0,40.2,2.93,830.0,3169458.0,85548100.0,110141.0,635638.9,,,15.0,19.6,0.497004892330213,0.2095913759997899,0.0614430448014176
3136,FORD,0.0,3.0,38.63692052980132,3.123841059602649,1208.0,1863067.0,24551142.0,35707.0,817305.39,5.0,6.0,9.0,17.8,0.4991320099630161,0.154729533558348,0.04868291946562
3140,FOREST,0.0,,43.28813056379822,2.718516320474777,337.0,285159.0,2815277.0,5051.299999999999,212461.21,,,7.0,19.8,0.7124962269846061,0.3995130795290121,0.0759130697253244
3144,FORSYTH,6885.0,5.0,37.0299230421005,3.0590538705296515,2209.0,26095286.0,721032372.0,1822039.8,848020.51,,1.0,20.0,16.6,0.5017793194804612,0.5049172256209283,0.0968915232546391
3148,FORT BEND,3126.0,8.0,35.0,3.44,2240.0,23952375.0,1404520320.0,1480640.0,1983788.8,,3.0,17.0,16.8,0.4941112033344355,0.7064376380615971,0.2553124008880431
3149,FOSTER,0.0,1.0,46.4,2.81,105.0,104935.0,356370.0,546.0,67915.04999999999,2.0,,4.0,18.1,0.5,0.1372203327458223,0.0198342214328004
3150,FRANKLIN,35464.0,43.0,40.2439217908756,2.968654009634457,10587.0,31780864.0,614821322.0,879558.1,8895755.28,19.0,57.0,228.0,26.5,0.4999373669046724,0.2529901852852041,0.1921896530126519
3750,FRANKLIN (CITY),0.0,,,,,,,,,,,,,,,
3751,FREDERICK,793.0,1.0,38.44591577879249,3.1626534753932014,1971.0,13096785.0,438308872.0,659884.4,1270070.32,,4.0,26.0,18.7,0.4959192417418201,0.4825547835488161,0.1191065873853538
3755,FREDERICKSBURG (CITY),512.0,,,,,,,,,,,,,,,
3756,FREESTONE,0.0,1.0,41.0,3.05,170.0,676182.0,3434340.0,3774.0,151657.0,,,7.0,21.9,0.5221553884711779,0.4105471730358684,0.1749874686716792
3757,FREMONT,1112.0,3.0,41.190285714285714,2.957485714285714,875.0,3802853.0,31054479.0,11592.6,4706655.44,24.0,9.0,21.0,19.2,0.5797343866508131,0.2599531061958589,0.139074182301848
3773,FRESNO,7184.0,7.0,,,,,,,,144.0,16.0,27.0,18.1,0.5025256355953073,0.5452631381407086,0.54985470700066
3774,FRIO,0.0,1.0,32.4,3.4,139.0,783257.0,2425133.0,2112.8,157682.99000000002,,,2.0,18.9,0.574852652259332,0.3347547269640049,0.7997754701094584
3775,FRONTIER,0.0,,43.3,2.78,67.0,41740.0,186461.0,187.6,65663.34999999999,,,3.0,16.3,0.513482719331561,0.1217913968718938,0.0383592859855677
3776,FULTON,10324.0,14.0,37.81551220806794,3.0371403927813163,7536.0,88196989.0,3669018620.0,6669067.0,4185206.44,2.0,36.0,67.0,25.5,0.4974963656921337,0.1615839693918911,0.0251978678727184
3840,FURNAS,0.0,1.0,47.3,2.85,100.0,100192.0,495100.0,690.0,72064.0,3.0,,4.0,16.5,0.5066666666666667,0.1228102413435232,0.0544262295081967
3841,GADSDEN,110.0,1.0,38.9,3.12,296.0,1524737.0,14366064.0,25988.8,156436.0,,6.0,10.0,18.1,0.4795060249291523,0.5178033613880639,0.1167661221574545
3842,GAGE,0.0,1.0,43.7,2.85,267.0,574553.0,5981334.0,6915.299999999999,229614.66,7.0,,8.0,18.0,0.5033127924755595,0.1441508877379102,0.0344252420886809
3843,GAINES,0.0,1.0,28.4,3.56,116.0,465495.0,2127672.0,1357.1999999999998,174330.59999999998,2.0,,2.0,23.2,0.5118795365402822,0.1740964193021231,0.434335692709977
3844,GALLATIN,0.0,2.0,38.32510530749789,2.908871103622578,1187.0,4787054.0,53328077.0,37462.5,1601016.39,20.0,5.0,26.0,18.5,0.4893923789907312,0.1665410243686354,0.0224510813594232
3853,GALLIA,895.0,1.0,39.9,2.99,328.0,825404.0,10138480.0,21549.6,154510.96,,,9.0,24.8,0.5015824962157699,0.1857863489856544,0.0156529516994633
3854,GALVESTON,3118.0,3.0,37.1,3.16,1475.0,10866748.0,438508650.0,1038842.5,610060.0,,4.0,15.0,20.8,0.4944261964566234,0.4350638907682188,0.2683910315106814
3855,GARDEN,0.0,1.0,49.7,2.64,38.0,39080.0,78280.0,45.6,65776.86,,,2.0,16.0,0.5171475231355471,0.1470597690627457,0.0631464344039194
3856,GARFIELD,640.0,7.0,37.95252525252525,3.044994388327722,891.0,3603650.0,42337885.0,29478.3,1947597.47,28.0,8.0,22.0,18.5,0.5152639270286329,0.2060103754002378,0.3054873054873054
3892,GARLAND,1279.0,3.0,44.4,2.81,407.0,3051060.0,39179448.0,53194.9,298990.34,,,7.0,23.2,0.4845687338268941,0.3236357680569224,0.0664308765198972
3893,GARVIN,103.0,2.0,,,,,,,,,,10.0,24.8,0.4977248862443122,0.4402372043035057,0.1065219927663049
3894,GARZA,0.0,,33.6,3.12,97.0,299950.0,627687.0,698.4,86918.79000000001,,,1.0,20.0,0.6895560523794315,0.2954242741970183,0.5538166719897796
3895,GASTON,3048.0,1.0,38.8,3.0,1169.0,11023960.0,244028750.0,662121.6,425328.96,,,22.0,23.0,0.4853873577695707,0.4563299083969498,0.0892726768140383
3896,GATES,0.0,,41.9,3.05,210.0,264750.0,2638020.0,7434.0,72258.9,,,5.0,21.4,0.4942694789559857,0.5032032592100547,0.0261966676297794
3897,GEAUGA,515.0,1.0,43.1,3.16,1601.0,4225961.0,150764569.0,366148.7,653672.29,,2.0,14.0,21.5,0.5025715153610072,0.1191193533933873,0.0189380846138537
3898,GEM,0.0,1.0,42.9,3.01,143.0,347773.0,2406976.0,4232.8,80896.53,,3.0,3.0,18.6,0.5074933881868939,0.1752776208332497,0.0953570379077284
3899,GENESEE,516.0,4.0,38.70552995391705,3.0223963133640552,3472.0,26095131.0,1304771304.0,2041151.2,2187133.36,,21.0,39.0,23.0,0.4853240062390698,0.4534965815216651,0.0400390066246582
3903,GEORGETOWN,1322.0,1.0,,,,,,,,,2.0,4.0,19.7,0.4742436883903464,0.4474312536471991,0.0331108432990327
3904,GIBSON,506.0,2.0,39.9,2.983935185185185,1080.0,3273734.0,43183245.0,78927.99999999999,583451.3,,8.0,22.0,23.6,0.5091383020640742,0.1916671561251537,0.021853120358864
3908,GILA,763.0,3.0,47.7,2.94,113.0,809570.0,6114204.0,1265.6,541824.83,10.0,3.0,15.0,20.3,0.4985720114239086,0.4174005709304333,0.1930566373650828
3909,GILES,203.0,2.0,42.852631578947374,2.8915789473684206,722.0,2249732.0,15191868.0,34697.8,312603.39,,1.0,14.0,25.9,0.4850428749099954,0.3165580322395102,0.0367545984159193
3913,GILLESPIE,0.0,1.0,49.6,2.82,150.0,615471.0,3858450.0,3510.0,159220.5,,,6.0,19.9,0.4893547330494595,0.1414732169979035,0.2498089311060159
3914,GILLIAM,0.0,,49.6,2.74,114.0,142567.0,216714.0,171.0,139404.9,,,3.0,21.8,0.5039643211100099,0.2317799767416779,0.0708622398414271
3915,GILMER,184.0,,41.26972111553784,2.8848605577689246,251.0,746269.0,5318099.0,12545.6,99291.71,,3.0,3.0,20.2,0.506063504798346,0.1739952600408228,0.1298793470546486
3919,GILPIN,0.0,,45.6,2.7,36.0,141517.0,197568.0,1303.2,5409.36,,2.0,3.0,18.8,0.5253776947886607,0.2537486814309576,0.0779154642675267
3920,GLASCOCK,0.0,,39.0,3.14,72.0,43770.0,223560.0,1533.6,10397.52,,1.0,2.0,22.5,0.5018713848247703,0.275492374022707,0.0190541000340251
3921,GLASSCOCK,0.0,,37.8,3.19,49.0,71753.0,61054.0,68.6,44144.1,,,1.0,21.8,0.5541237113402062,0.1586697232136138,0.3823024054982817
3922,GLENN,379.0,1.0,35.3,3.32,172.0,1391395.0,4904752.0,3646.4,228247.44,5.0,3.0,9.0,18.9,0.510568474540386,0.3143218484055727,0.4460284413705494
3923,GLOUCESTER,5686.0,1.0,40.03494809688581,3.1080161476355253,2601.0,20080914.0,515272869.0,1604033.7,751547.85,,3.0,35.0,18.1,0.4918020489169963,0.4062685531282167,0.0790375765245384
3927,GLYNN,1017.0,2.0,39.4,2.98,558.0,4042348.0,45152802.0,100161.0,247517.64,,4.0,3.0,18.8,0.4696341047732107,0.4959038608971214,0.0710045957286757
3928,GOLDEN VALLEY,0.0,,47.18837209302325,2.781472868217054,129.0,83976.0,180266.0,172.5,138357.37,1.0,1.0,6.0,21.1,0.4718562874251497,0.2002325784650868,0.0455089820359281
3932,GOLIAD,0.0,,45.6,2.94,100.0,217048.0,740500.0,840.0,85923.0,,,3.0,21.5,0.5042770999859767,0.2526746803385384,0.3543682512971532
3933,GOODING,0.0,1.0,34.4,3.32,220.0,474020.0,3406480.0,4642.0,161488.79999999996,3.0,2.0,4.0,18.1,0.5121221762647152,0.2059749619086363,0.2997772828507795
3934,GORDON,313.0,1.0,36.0,3.2,349.0,2447730.0,19525154.0,53780.9,124973.41,,4.0,1.0,21.9,0.4960986531872307,0.2665935817717186,0.1728466261831258
